name,log2FC,Pval,FDR,comparison,cell_type,label,diffaccessible,dalabel
PIGY,0.00587187292831936,0.931889697964262,0.983648815064884,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
FAM13A,-0.0457060960940074,0.0553317137594935,0.319591845041199,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
TIGD2,0.028236117147351,0.530126064660626,0.837879033761066,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
CCSER1,0.0299742889514236,0.899005100586161,0.976018511256476,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
GRID2,0.0100606409127249,0.91800849861962,0.979418007702572,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
PDLIM5,0.0200774343886031,0.692084289584831,0.909161345717952,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
BMPR1B,-0.00191884948381547,0.280592485486765,0.665800691894872,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
UNC5C,0.00952597086000549,0.918635331029016,0.979526909536237,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
STPG2,-0.0123436841726477,0.121639741133192,0.465106419513585,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
RAP1GDS1,0.055962637088721,0.0828830731732661,0.388757378861473,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
TSPAN5,-0.012151550327272,0.273899125865863,0.660953489058549,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
MIR3684,0.0369718550892704,0.446193396444848,0.785791814762935,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
DNAJB14,0.00122053389798697,0.857229702132817,0.966227708421207,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
LOC256880,-0.00152375201578343,0.650725762203784,0.890811438881836,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
H2AFZ,-0.022307384324559,0.723933327079742,0.921935813582735,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
PPP3CA,-0.0396523742001779,0.137137747463493,0.491267403799084,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
FLJ20021,-0.0411032397391241,0.363159566795952,0.735429681988165,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
BANK1,0.00605287227219321,0.440699670047746,0.783349028905224,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
UBE2D3,-0.0404517233995195,0.24794701484512,0.633649411819882,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
LOC105377348,-0.0374976123294252,0.452297742871714,0.788925964885718,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
INTS12,-0.0148192945307993,0.313831842573619,0.694464881631319,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
PAPSS1,0.0400760996482641,0.422605226193447,0.773069130591563,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
LEF1,-0.052195399495761,0.472159924266997,0.79969785881262,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
