"","hgnc_symbol","gene_biotype"
"196","SURF4","protein_coding"
"197","MIPEP","protein_coding"
"198","STKLD1","protein_coding"
"199","REXO4","protein_coding"
"200","KPNA3","protein_coding"
"201","HMX1","protein_coding"
"202","CRYL1","protein_coding"
"203","ADAMTS13","protein_coding"
"204","CAB39L","protein_coding"
"205","DNAJC15","protein_coding"
"206","GPR12","protein_coding"
"207","WASF3","protein_coding"
"208","POSTN","protein_coding"
"209","ACR","protein_coding"
"210","SHANK3","protein_coding"
"211","CACFD1","protein_coding"
"212","SLC2A6","protein_coding"
"213","FNDC3A","protein_coding"
"214","ABO","protein_coding"
"215","LHFPL6","protein_coding"
"216","GCGR","protein_coding"
"217","AKAP11","protein_coding"
"218","MZT1","protein_coding"
"219","PROSER1","protein_coding"
"220","MCRIP1","protein_coding"
"221","ERICH6B","protein_coding"
"222","TMPRSS15","protein_coding"
"223","PIBF1","protein_coding"
"224","PPP1R27","protein_coding"
"225","CXADR","protein_coding"
"226","BORA","protein_coding"
"227","KLHL1","protein_coding"
"228","URB1","protein_coding"
"229","GPR20","protein_coding"
"230","SCEL","protein_coding"
"231","PTP4A3","protein_coding"
"232","C8orf90","protein_coding"
"233","MROH5","protein_coding"
"234","KRTAP25-1","protein_coding"
"235","JAM2","protein_coding"
"236","COLEC12","protein_coding"
"237","CLDN17","protein_coding"
"238","FREM2","protein_coding"
"239","KRTAP24-1","protein_coding"
"240","SCAF4","protein_coding"
"241","PRR20B","protein_coding"
"242","TBC1D4","protein_coding"
"243","IMPA2","protein_coding"
"244","PRR20D","protein_coding"
"245","ZKSCAN7","protein_coding"
"246","SPRY2","protein_coding"
"247","PRR20E","protein_coding"
"248","RAB31","protein_coding"
"249","UFM1","protein_coding"
"250","KLF5","protein_coding"
"251","YES1","protein_coding"
"252","NCAM2","protein_coding"
"253","TNK1","protein_coding"
"254","CBY2","protein_coding"
"255","ZNF660","protein_coding"
"256","UBAC2","protein_coding"
"257","ZNF197","protein_coding"
"258","PLSCR3","protein_coding"
"259","CLDN8","protein_coding"
"260","NDUFV2","protein_coding"
"261","HUNK","protein_coding"
"262","RFC3","protein_coding"
"263","C21orf91","protein_coding"
"264","ZNF35","protein_coding"
"265","MPPE1","protein_coding"
"266","POU4F1","protein_coding"
"267","MORC3","protein_coding"
"268","ZNF502","protein_coding"
"269","TMEM256-PLSCR3","protein_coding"
"270","SPATA13","protein_coding"
"271","TMEM256","protein_coding"
"272","NLGN2","protein_coding"
"273","ZNF501","protein_coding"
"274","KIAA1143","protein_coding"
"275","SPEM1","protein_coding"
"276","SPEM2","protein_coding"
"277","KIF15","protein_coding"
"278","SPEM3","protein_coding"
"279","TMEM102","protein_coding"
"280","FGF11","protein_coding"
"281","PAXBP1","protein_coding"
"282","CHRNB1","protein_coding"
"283","NHLRC3","protein_coding"
"284","OLFM4","protein_coding"
"285","PRR20A","protein_coding"
"286","ZBTB4","protein_coding"
"287","SLC35G6","protein_coding"
"288","IPO5","protein_coding"
"289","POLR2A","protein_coding"
"290","CELF4","protein_coding"
"291","EPCIP","protein_coding"
"292","TMEM42","protein_coding"
"293","TGM4","protein_coding"
"294","ITSN1","protein_coding"
"295","ZNF852","protein_coding"
"296","ORAI1","protein_coding"
"297","DIAPH3","protein_coding"
"298","AKAIN1","protein_coding"
"299","SLC14A2","protein_coding"
"300","RALBP1","protein_coding"
"301","SS18","protein_coding"
"302","NAT8","protein_coding"
"303","TPRKB","protein_coding"
"304","TRIM71","protein_coding"
"305","DUSP11","protein_coding"
"306","CNOT10","protein_coding"
"307","CARMIL3","protein_coding"
"308","C2orf78","protein_coding"
"309","NAT8B","protein_coding"
"310","PCDH17","protein_coding"
"311","SERTM1","protein_coding"
"312","SLC7A1","protein_coding"
"313","CPNE6","protein_coding"
"314","SLC15A1","protein_coding"
"315","KPNA7","protein_coding"
"316","ANKRD12","protein_coding"
"317","FOXO1","protein_coding"
"318","COG3","protein_coding"
"319","NRL","protein_coding"
"320","ARK2N","protein_coding"
"321","C6orf52","protein_coding"
"322","PCK2","protein_coding"
"323","PAK1IP1","protein_coding"
"324","SKA1","protein_coding"
"325","LRCH1","protein_coding"
"326","TMEM14C","protein_coding"
"327","GCNT2","protein_coding"
"328","RPRD1A","protein_coding"
"329","CDADC1","protein_coding"
"330","RIT2","protein_coding"
"331","DIS3","protein_coding"
"332","CTAGE1","protein_coding"
"333","HRH4","protein_coding"
"334","DCAF11","protein_coding"
"335","MAPK4","protein_coding"
"336","ARK2C","protein_coding"
"337","PADI1","protein_coding"
"338","ST8SIA3","protein_coding"
"339","RNF152","protein_coding"
"340","PRR20C","protein_coding"
"341","CCDC68","protein_coding"
"342","PADI3","protein_coding"
"343","SLITRK6","protein_coding"
"344","ZMYM5","protein_coding"
"345","PADI4","protein_coding"
"346","SMAD2","protein_coding"
"347","SOX1","protein_coding"
"348","MYO16","protein_coding"
"349","PADI6","protein_coding"
"350","RPS6KA1","protein_coding"
"351","RCC2","protein_coding"
"352","IRS2","protein_coding"
"353","SPACA7","protein_coding"
"354","RAB27B","protein_coding"
"355","STOML3","protein_coding"
"356","TXNL1","protein_coding"
"357","ANKRD10","protein_coding"
"358","FITM1","protein_coding"
"359","PSME1","protein_coding"
"360","NALF1","protein_coding"
"361","PCCA","protein_coding"
"362","CTIF","protein_coding"
"363","GAREM1","protein_coding"
"364","ZBTB7C","protein_coding"
"365","TUBGCP3","protein_coding"
"366","EMC9","protein_coding"
"367","PSME2","protein_coding"
"368","BOD1L2","protein_coding"
"369","FBXO15","protein_coding"
"370","OBI1","protein_coding"
"371","CDH7","protein_coding"
"372","UBL3","protein_coding"
"373","MLNR","protein_coding"
"374","FLT3","protein_coding"
"375","ATP5PO","protein_coding"
"376","TPGS2","protein_coding"
"377","FAM216B","protein_coding"
"378","CHODL","protein_coding"
"379","BACH1","protein_coding"
"380","RNF31","protein_coding"
"381","ITM2B","protein_coding"
"382","MC4R","protein_coding"
"383","TMX3","protein_coding"
"384","TRIM13","protein_coding"
"385","ETS2","protein_coding"
"386","KCNRG","protein_coding"
"387","FAM124A","protein_coding"
"388","CDH20","protein_coding"
"389","ZAR1L","protein_coding"
"390","N4BP2L1","protein_coding"
"391","PTPN2","protein_coding"
"392","KCNJ15","protein_coding"
"393","CSNK1A1L","protein_coding"
"394","TMEM272","protein_coding"
"395","RFXAP","protein_coding"
"396","TRPC4","protein_coding"
"397","IRF9","protein_coding"
"398","CRYZL1","protein_coding"
"399","PHLPP1","protein_coding"
"400","CDH19","protein_coding"
"401","REC8","protein_coding"
"402","ITGA9","protein_coding"
"403","C18orf21","protein_coding"
"404","CPB2","protein_coding"
"405","N6AMT1","protein_coding"
"406","KCTD1","protein_coding"
"407","LCP1","protein_coding"
"408","SAA1","protein_coding"
"409","IPO4","protein_coding"
"410","SLC39A6","protein_coding"
"411","ADAMTS5","protein_coding"
"412","HPS5","protein_coding"
"413","ZBTB14","protein_coding"
"414","SIAH3","protein_coding"
"415","NALCN","protein_coding"
"416","GALR1","protein_coding"
"417","C2CD2","protein_coding"
"418","ZNF521","protein_coding"
"419","ADRA1D","protein_coding"
"420","IMPACT","protein_coding"
"421","RSPO4","protein_coding"
"422","DEFB129","protein_coding"
"423","ANGPT4","protein_coding"
"424","ZBTB21","protein_coding"
"425","GTF2H1","protein_coding"
"426","SHLD1","protein_coding"
"427","CBLN2","protein_coding"
"428","CCDC168","protein_coding"
"429","TEX30","protein_coding"
"430","SLX4IP","protein_coding"
"431","CBR1","protein_coding"
"432","DEFB125","protein_coding"
"433","BIVM-ERCC5","protein_coding"
"434","BMP2","protein_coding"
"435","CBR3","protein_coding"
"436","ADIPOR2","protein_coding"
"437","FAM110A","protein_coding"
"438","MBP","protein_coding"
"439","EVA1C","protein_coding"
"440","BIVM","protein_coding"
"441","INSM1","protein_coding"
"442","DEFB128","protein_coding"
"443","CACNA2D4","protein_coding"
"444","DEFB126","protein_coding"
"445","BTBD3","protein_coding"
"446","LDHA","protein_coding"
"447","GAS6","protein_coding"
"448","NUDT15","protein_coding"
"449","CFAP298","protein_coding"
"450","MED4","protein_coding"
"451","PCSK2","protein_coding"
"452","SGCG","protein_coding"
"453","IBTK","protein_coding"
"454","RBM26","protein_coding"
"455","ZNF343","protein_coding"
"456","CFAP298-TCP10L","protein_coding"
"457","TM9SF1","protein_coding"
"458","DGKH","protein_coding"
"459","ISM1","protein_coding"
"460","CST5","protein_coding"
"461","TMEM241","protein_coding"
"462","SYNDIG1","protein_coding"
"463","TCP10L","protein_coding"
"464","XRN2","protein_coding"
"465","TSSK4","protein_coding"
"466","BTG3","protein_coding"
"467","CHMP4A","protein_coding"
"468","SNRPB2","protein_coding"
"469","SUMO3","protein_coding"
"470","MDP1","protein_coding"
"471","CST7","protein_coding"
"472","MRPL39","protein_coding"
"473","APMAP","protein_coding"
"474","ELP2","protein_coding"
"475","NEDD8-MDP1","protein_coding"
"476","SUCLA2","protein_coding"
"477","BFSP1","protein_coding"
"478","NEDD8","protein_coding"
"479","SAMSN1","protein_coding"
"480","TPBG","protein_coding"
"481","GMPR2","protein_coding"
"482","GGTLC1","protein_coding"
"483","CST2","protein_coding"
"484","DSTN","protein_coding"
"485","SIM2","protein_coding"
"486","GPR183","protein_coding"
