"","hgnc_symbol","gene_biotype"
"5182","NFXL1","protein_coding"
"5183","PSG7","protein_coding"
"5184","PYGB","protein_coding"
"5185","RBP7","protein_coding"
"5186","ERMARD","protein_coding"
"5187","HSPBP1","protein_coding"
"5188","GPR157","protein_coding"
"5189","ZBTB40","protein_coding"
"5190","TIAL1","protein_coding"
"5191","ABHD12","protein_coding"
"5192","HS3ST3A1","protein_coding"
"5193","SLC6A16","protein_coding"
"5194","COX10","protein_coding"
"5195","ZNF92","protein_coding"
"5196","TIGD6","protein_coding"
"5197","MGAT5","protein_coding"
"5198","SLC22A11","protein_coding"
"5199","HMGXB3","protein_coding"
"5200","WDR86","protein_coding"
"5201","NPHP4","protein_coding"
"5202","DDX19A","protein_coding"
"5203","CDRT15","protein_coding"
"5204","CSF1R","protein_coding"
"5205","C2orf80","protein_coding"
"5206","IFRD1","protein_coding"
"5207","HS3ST3B1","protein_coding"
"5208","SLC22A12","protein_coding"
"5209","PLPP7","protein_coding"
"5210","CT45A3","protein_coding"
"5211","SLC16A9","protein_coding"
"5212","PRPSAP1","protein_coding"
"5213","CT45A6","protein_coding"
"5214","BRSK1","protein_coding"
"5215","TMEM268","protein_coding"
"5216","PIWIL3","protein_coding"
"5217","FAM107B","protein_coding"
"5218","ASIP","protein_coding"
"5219","CT45A2","protein_coding"
"5220","UTP20","protein_coding"
"5221","CT45A8","protein_coding"
"5222","TEX53","protein_coding"
"5223","AHCY","protein_coding"
"5224","FARSB","protein_coding"
"5225","TEX48","protein_coding"
"5226","TNFSF15","protein_coding"
"5227","ZC2HC1B","protein_coding"
"5228","ATP6V1G1","protein_coding"
"5229","CT45A9","protein_coding"
"5230","PSMD5","protein_coding"
"5231","RFPL2","protein_coding"
"5232","CXorf66","protein_coding"
"5233","NIPAL1","protein_coding"
"5234","SOWAHD","protein_coding"
"5235","MAP1LC3A","protein_coding"
"5236","RPL39","protein_coding"
"5237","HNMT","protein_coding"
"5238","P2RX6","protein_coding"
"5239","GINM1","protein_coding"
"5240","RNF113A","protein_coding"
"5241","NDUFA1","protein_coding"
"5242","SAMD5","protein_coding"
"5243","SPHK1","protein_coding"
"5244","PHF19","protein_coding"
"5245","PSMB1","protein_coding"
"5246","AKAP14","protein_coding"
"5247","PDGFRB","protein_coding"
"5248","LGR5","protein_coding"
"5249","ERVMER34-1","protein_coding"
"5250","BCHE","protein_coding"
"5251","PIGU","protein_coding"
"5252","RASL11B","protein_coding"
"5253","ST3GAL2","protein_coding"
"5254","SLC2A12","protein_coding"
"5255","ULBP1","protein_coding"
"5256","ADAD1","protein_coding"
"5257","NKAP","protein_coding"
"5258","COPS8","protein_coding"
"5259","SOBP","protein_coding"
"5260","RASGRP2","protein_coding"
"5261","DYNLRB1","protein_coding"
"5262","LSMEM1","protein_coding"
"5263","ARHGEF26","protein_coding"
"5264","ITCH","protein_coding"
"5265","WDR27","protein_coding"
"5266","ZNF578","protein_coding"
"5267","C14orf132","protein_coding"
"5268","C5AR1","protein_coding"
"5269","UBE2O","protein_coding"
"5270","FCSK","protein_coding"
"5271","NOS3","protein_coding"
"5272","HES5","protein_coding"
"5273","ESRRB","protein_coding"
"5274","BCOR","protein_coding"
"5275","PPP1R12C","protein_coding"
"5276","PHACTR4","protein_coding"
"5277","ERAP1","protein_coding"
"5278","CEACAM4","protein_coding"
"5279","BDKRB2","protein_coding"
"5280","CYGB","protein_coding"
"5281","APELA","protein_coding"
"5282","CEACAM21","protein_coding"
"5283","FOXN3","protein_coding"
"5284","TM4SF1","protein_coding"
"5285","PRCD","protein_coding"
"5286","TRIM32","protein_coding"
"5287","CER1","protein_coding"
"5288","TRIM60","protein_coding"
"5289","CFAP221","protein_coding"
"5290","AMTN","protein_coding"
"5291","CEACAM7","protein_coding"
"5292","ST6GALNAC2","protein_coding"
"5293","MMP14","protein_coding"
"5294","SLC9A1","protein_coding"
"5295","ADGRD1","protein_coding"
"5296","UBE2R2","protein_coding"
"5297","SLC16A8","protein_coding"
"5298","SLC9A9","protein_coding"
"5299","DCAF12","protein_coding"
"5300","ZDHHC14","protein_coding"
"5301","TMEM121B","protein_coding"
"5302","CD37","protein_coding"
"5303","ENAM","protein_coding"
"5304","IL17RA","protein_coding"
"5305","CTSL","protein_coding"
"5306","ST6GALNAC1","protein_coding"
"5307","UTP3","protein_coding"
"5308","LRRC14B","protein_coding"
"5309","GINS1","protein_coding"
"5310","CCDC127","protein_coding"
"5311","RUFY3","protein_coding"
"5312","EXOC3","protein_coding"
"5313","SFR1","protein_coding"
"5314","FREM1","protein_coding"
"5315","NEK11","protein_coding"
"5316","TRIP11","protein_coding"
"5317","RAPGEF4","protein_coding"
"5318","ASIC3","protein_coding"
"5319","FOXA2","protein_coding"
"5320","OGA","protein_coding"
"5321","PDE7B","protein_coding"
"5322","POLR3F","protein_coding"
"5323","SF3B3","protein_coding"
"5324","PAFAH2","protein_coding"
"5325","HDHD5","protein_coding"
"5326","RHBDF2","protein_coding"
"5327","SLC9A3","protein_coding"
"5328","TULP4","protein_coding"
"5329","RBBP9","protein_coding"
"5330","FTHL17","protein_coding"
"5331","GSPT2","protein_coding"
"5332","PTGES2","protein_coding"
"5333","BORCS8","protein_coding"
"5334","SEC23B","protein_coding"
"5335","AJAP1","protein_coding"
"5336","YIPF6","protein_coding"
"5337","NDUFB1","protein_coding"
"5338","AZU1","protein_coding"
"5339","CBY1","protein_coding"
"5340","CPSF2","protein_coding"
"5341","PRTN3","protein_coding"
"5342","PTAFR","protein_coding"
"5343","ZNF10","protein_coding"
"5344","CDK5","protein_coding"
"5345","SLC25A33","protein_coding"
"5346","PHF10","protein_coding"
"5347","OPHN1","protein_coding"
"5348","PLPPR3","protein_coding"
"5349","GJB3","protein_coding"
"5350","TOX4","protein_coding"
"5351","MED16","protein_coding"
"5352","RBFOX2","protein_coding"
"5353","AARS1","protein_coding"
"5354","USP17L10","protein_coding"
"5355","USP17L11","protein_coding"
"5356","USP17L12","protein_coding"
"5357","PYGM","protein_coding"
"5358","CD22","protein_coding"
"5359","USP17L13","protein_coding"
"5360","USP17L17","protein_coding"
"5361","CEP72","protein_coding"
"5362","USP17L18","protein_coding"
"5363","USP17L23","protein_coding"
"5364","ARL1","protein_coding"
"5365","EYA3","protein_coding"
"5366","USP17L5","protein_coding"
"5367","USP17L27","protein_coding"
"5368","USP17L28","protein_coding"
"5369","KCNIP2","protein_coding"
"5370","USP17L29","protein_coding"
"5371","USP17L30","protein_coding"
"5372","USP17L20","protein_coding"
"5373","USP17L21","protein_coding"
"5374","TMUB1","protein_coding"
"5375","USP17L22","protein_coding"
"5376","USP17L24","protein_coding"
"5377","ELANE","protein_coding"
"5378","USP17L25","protein_coding"
"5379","USP17L26","protein_coding"
"5380","USP17L19","protein_coding"
"5381","TPPP","protein_coding"
"5382","GIMD1","protein_coding"
"5383","SMC5","protein_coding"
"5384","CFD","protein_coding"
"5385","ASB10","protein_coding"
"5386","METTL3","protein_coding"
"5387","NUDT6","protein_coding"
"5388","IQCA1L","protein_coding"
"5389","ALKBH2","protein_coding"
"5390","SEC14L1","protein_coding"
"5391","ABCF2","protein_coding"
"5392","AIG1","protein_coding"
"5393","MAP4K2","protein_coding"
"5394","IL2","protein_coding"
"5395","VMA21","protein_coding"
"5396","MATR3","protein_coding"
"5397","ATP6AP1","protein_coding"
"5398","TAOK3","protein_coding"
"5399","TRIM59-IFT80","protein_coding"
"5400","SALL2","protein_coding"
"5401","OR13F1","protein_coding"
"5402","OR13C4","protein_coding"
"5403","OR13C8","protein_coding"
"5404","OR13C5","protein_coding"
"5405","OR13C2","protein_coding"
"5406","TNFSF10","protein_coding"
"5407","OR13C9","protein_coding"
"5408","HERPUD2","protein_coding"
"5409","NIPSNAP3A","protein_coding"
"5410","SPIN2B","protein_coding"
"5411","VCPKMT","protein_coding"
"5412","SEPTIN9","protein_coding"
"5413","RAP1GDS1","protein_coding"
"5414","KATNA1","protein_coding"
"5415","NIPSNAP3B","protein_coding"
"5416","SSX5","protein_coding"
"5417","SOS2","protein_coding"
"5418","CLDN2","protein_coding"
"5419","RSBN1L","protein_coding"
"5420","ABCA1","protein_coding"
"5421","SEPTIN10","protein_coding"
"5422","DRP2","protein_coding"
"5423","PHC3","protein_coding"
"5424","SMIM26","protein_coding"
"5425","RBCK1","protein_coding"
"5426","TMEM60","protein_coding"
"5427","TUBE1","protein_coding"
"5428","KAZN","protein_coding"
"5429","HSFX3","protein_coding"
"5430","GGCT","protein_coding"
"5431","ZXDA","protein_coding"
"5432","MAGEB18","protein_coding"
"5433","KIF26B","protein_coding"
"5434","MAGEB6","protein_coding"
"5435","MAGEB5","protein_coding"
"5436","GGT5","protein_coding"
"5437","GRIA3","protein_coding"
"5438","ASCL1","protein_coding"
"5439","USP30","protein_coding"
"5440","CRHR2","protein_coding"
"5441","LTV1","protein_coding"
"5442","TNFRSF1B","protein_coding"
"5443","L2HGDH","protein_coding"
"5444","TBR1","protein_coding"
"5445","KNDC1","protein_coding"
"5446","AFG1L","protein_coding"
"5447","IL17REL","protein_coding"
"5448","RTEL1-TNFRSF6B","protein_coding"
"5449","UBE2L3","protein_coding"
"5450","DKKL1","protein_coding"
"5451","FIGN","protein_coding"
"5452","CDKL1","protein_coding"
"5453","CPM","protein_coding"
"5454","EHD1","protein_coding"
"5455","ADA2","protein_coding"
"5456","DYNLT2","protein_coding"
"5457","UBE4B","protein_coding"
"5458","OR2T4","protein_coding"
"5459","OR2T2","protein_coding"
"5460","SPO11","protein_coding"
"5461","TBL1X","protein_coding"
"5462","OR2T1","protein_coding"
"5463","OR2T6","protein_coding"
"5464","ADAM23","protein_coding"
"5465","PPP1R37","protein_coding"
"5466","OR2T7","protein_coding"
"5467","OR2T3","protein_coding"
"5468","UBE3D","protein_coding"
"5469","OR2T5","protein_coding"
"5470","FGF8","protein_coding"
"5471","RPGRIP1","protein_coding"
"5472","MEIOC","protein_coding"
"5473","PXYLP1","protein_coding"
"5474","SLC25A42","protein_coding"
"5475","GARS1","protein_coding"
"5476","CCDC43","protein_coding"
"5477","GPR143","protein_coding"
"5478","COX18","protein_coding"
"5479","PPP2R5B","protein_coding"
"5480","ABTB3","protein_coding"
"5481","RAE1","protein_coding"
"5482","GFRA1","protein_coding"
"5483","ACP7","protein_coding"
"5484","DBF4B","protein_coding"
"5485","PAIP2","protein_coding"
"5486","MYOZ2","protein_coding"
"5487","BAG2","protein_coding"
"5488","WDR38","protein_coding"
"5489","EGFL6","protein_coding"
"5490","GPHA2","protein_coding"
"5491","OLIG3","protein_coding"
"5492","MOB1B","protein_coding"
"5493","RAB23","protein_coding"
"5494","NCCRP1","protein_coding"
"5495","GPR21","protein_coding"
"5496","FRRS1L","protein_coding"
"5497","MAJIN","protein_coding"
"5498","RAB9A","protein_coding"
"5499","PLA2G5","protein_coding"
"5500","TMEM163","protein_coding"
"5501","OFD1","protein_coding"
"5502","ODAPH","protein_coding"
"5503","SLC23A1","protein_coding"
"5504","MMRN2","protein_coding"
"5505","IFT74","protein_coding"
"5506","ADAM11","protein_coding"
"5507","BATF2","protein_coding"
"5508","YAE1","protein_coding"
"5509","HMGB2","protein_coding"
"5510","LY75-CD302","protein_coding"
"5511","LATS1","protein_coding"
"5512","COX16","protein_coding"
"5513","ARL2","protein_coding"
"5514","SNCG","protein_coding"
"5515","RBM38","protein_coding"
"5516","TMEM170A","protein_coding"
"5517","RALA","protein_coding"
"5518","PTPRU","protein_coding"
"5519","SYNJ2BP-COX16","protein_coding"
"5520","FAM25A","protein_coding"
"5521","CHST6","protein_coding"
"5522","ACOT8","protein_coding"
"5523","SHLD2","protein_coding"
"5524","CALCR","protein_coding"
"5525","FNDC3B","protein_coding"
"5526","SAP30","protein_coding"
"5527","RPH3A","protein_coding"
"5528","CDC42BPG","protein_coding"
"5529","SYNJ2BP","protein_coding"
"5530","GABARAPL2","protein_coding"
"5531","SCRG1","protein_coding"
"5532","ADGRA1","protein_coding"
"5533","ADAM21","protein_coding"
"5534","RGS17","protein_coding"
"5535","ADAM20","protein_coding"
"5536","MZB1","protein_coding"
"5537","MED6","protein_coding"
"5538","TERF2IP","protein_coding"
"5539","HAND2","protein_coding"
"5540","GPAM","protein_coding"
"5541","GPKOW","protein_coding"
"5542","DACT2","protein_coding"
"5543","GJC1","protein_coding"
"5544","DUXB","protein_coding"
"5545","IGLL1","protein_coding"
"5546","PROB1","protein_coding"
"5547","CPHXL","protein_coding"
"5548","DNAJC18","protein_coding"
"5549","MED28","protein_coding"
"5550","HIGD1B","protein_coding"
"5551","DEFB121","protein_coding"
"5552","AMFR","protein_coding"
"5553","MAGEA9","protein_coding"
"5554","OR52R1","protein_coding"
"5555","LRRC74B","protein_coding"
"5556","SLC35F1","protein_coding"
"5557","CT47A10","protein_coding"
"5558","OR51G1","protein_coding"
"5559","DEFB123","protein_coding"
"5560","OR51A2","protein_coding"
"5561","DEFB124","protein_coding"
"5562","SPATA31G1","protein_coding"
"5563","REM1","protein_coding"
"5564","FAM184B","protein_coding"
"5565","OR52E1","protein_coding"
"5566","CT47A9","protein_coding"
"5567","PAF1","protein_coding"
"5568","POLDIP3","protein_coding"
"5569","EFTUD2","protein_coding"
"5570","HBB","protein_coding"
"5571","TM9SF4","protein_coding"
"5572","CWC22","protein_coding"
"5573","CT47A8","protein_coding"
"5574","STOML2","protein_coding"
"5575","DCAF16","protein_coding"
"5576","HTR1A","protein_coding"
"5577","HBD","protein_coding"
"5578","NCAPG","protein_coding"
"5579","TECTB","protein_coding"
"5580","OGFOD1","protein_coding"
"5581","HBG2","protein_coding"
"5582","HSFX2","protein_coding"
"5583","RTL8B","protein_coding"
"5584","KIF3B","protein_coding"
"5585","RTL8C","protein_coding"
"5586","TTC9","protein_coding"
"5587","ZEB1","protein_coding"
"5588","ACSL6","protein_coding"
"5589","HBE1","protein_coding"
"5590","MED29","protein_coding"
"5591","RTL8A","protein_coding"
"5592","HECW2","protein_coding"
"5593","CEP170","protein_coding"
"5594","MAP3K9","protein_coding"
"5595","MGAM","protein_coding"
"5596","NOL4L","protein_coding"
"5597","SMIM10L2B","protein_coding"
"5598","ETDB","protein_coding"
"5599","CT55","protein_coding"
"5600","OR51B4","protein_coding"
"5601","OR51B6","protein_coding"
"5602","SI","protein_coding"
"5603","PI4KA","protein_coding"
"5604","OR51Q1","protein_coding"
"5605","PLEKHG2","protein_coding"
"5606","OR52D1","protein_coding"
"5607","ETDA","protein_coding"
"5608","UBQLN3","protein_coding"
"5609","ETDC","protein_coding"
"5610","NOCT","protein_coding"
"5611","ZNF449","protein_coding"
"5612","ATOSB","protein_coding"
"5613","UBQLNL","protein_coding"
"5614","SULF2","protein_coding"
"5615","FBXO30","protein_coding"
"5616","SMIM10L2A","protein_coding"
"5617","TBPL1","protein_coding"
"5618","OR52B6","protein_coding"
"5619","MGARP","protein_coding"
"5620","PRDX4","protein_coding"
"5621","TRIM6","protein_coding"
"5622","TCF21","protein_coding"
"5623","KARS1","protein_coding"
"5624","NDUFC1","protein_coding"
"5625","GSTA3","protein_coding"
"5626","SEC23A","protein_coding"
"5627","ACOT9","protein_coding"
"5628","GSTA4","protein_coding"
"5629","TNFRSF14","protein_coding"
"5630","HELZ2","protein_coding"
"5631","CCDC103","protein_coding"
"5632","GJB5","protein_coding"
"5633","RPS16","protein_coding"
"5634","GCM1","protein_coding"
"5635","AGO4","protein_coding"
"5636","SAXO1","protein_coding"
"5637","SLBP","protein_coding"
"5638","TUBGCP2","protein_coding"
"5639","P2RX7","protein_coding"
"5640","OR2B8P","protein_coding"
"5641","OR2B6","protein_coding"
"5642","RRAGA","protein_coding"
"5643","POU6F2","protein_coding"
"5644","AKT3","protein_coding"
"5645","KIF18B","protein_coding"
"5646","ADAMTSL1","protein_coding"
"5647","UNC93A","protein_coding"
"5648","ZBTB8B","protein_coding"
"5649","SUPT5H","protein_coding"
"5650","TRIM6-TRIM34","protein_coding"
"5651","CASZ1","protein_coding"
"5652","HIC2","protein_coding"
"5653","TTLL2","protein_coding"
"5654","YWHAB","protein_coding"
"5655","RHBDF1","protein_coding"
"5656","GIMAP2","protein_coding"
"5657","TRAPPC6B","protein_coding"
"5658","GRAP2","protein_coding"
"5659","PPP1R3G","protein_coding"
"5660","SECTM1","protein_coding"
"5661","DNAI1","protein_coding"
"5662","GIMAP1","protein_coding"
"5663","LETM1","protein_coding"
"5664","LILRA3","protein_coding"
"5665","ZDHHC6","protein_coding"
"5666","APOO","protein_coding"
"5667","GIMAP1-GIMAP5","protein_coding"
"5668","TMEM176A","protein_coding"
"5669","ENHO","protein_coding"
"5670","OR56B1","protein_coding"
"5671","RIPOR2","protein_coding"
"5672","OR52E6","protein_coding"
"5673","CNTFR","protein_coding"
"5674","RPL22L1","protein_coding"
"5675","HBG1","protein_coding"
"5676","TTC34","protein_coding"
"5677","PABPC1L","protein_coding"
"5678","LILRA5","protein_coding"
"5679","MRGPRG","protein_coding"
"5680","MRGPRE","protein_coding"
"5681","PNN","protein_coding"
"5682","CXorf58","protein_coding"
"5683","CD38","protein_coding"
"5684","RFTN2","protein_coding"
"5685","DNALI1","protein_coding"
"5686","SDCCAG8","protein_coding"
"5687","TEX19","protein_coding"
"5688","RPP25L","protein_coding"
"5689","DCTN3","protein_coding"
"5690","NPRL3","protein_coding"
"5691","SPATA16","protein_coding"
"5692","LILRA4","protein_coding"
"5693","OGFOD3","protein_coding"
"5694","ZNF195","protein_coding"
"5695","MPP1","protein_coding"
"5696","RRAGC","protein_coding"
"5697","TMA7B","protein_coding"
"5698","FAM246C","protein_coding"
"5699","NFAM1","protein_coding"
"5700","AREL1","protein_coding"
"5701","LAIR1","protein_coding"
"5702","EIF4EBP2","protein_coding"
"5703","NODAL","protein_coding"
"5704","GRIK3","protein_coding"
"5705","ZNF280B","protein_coding"
"5706","FGFBP1","protein_coding"
"5707","EBF3","protein_coding"
"5708","ZNF280A","protein_coding"
"5709","GALT","protein_coding"
"5710","ATP1B3","protein_coding"
"5711","FGFBP2","protein_coding"
"5712","PRAME","protein_coding"
"5713","INHBB","protein_coding"
"5714","TOMM34","protein_coding"
"5715","ADCK2","protein_coding"
"5716","LNPK","protein_coding"
"5717","CLK2","protein_coding"
"5718","PLA2G2D","protein_coding"
"5719","PROM1","protein_coding"
"5720","KCNS1","protein_coding"
"5721","TEKT3","protein_coding"
"5722","C10orf143","protein_coding"
"5723","GUCA2B","protein_coding"
"5724","GLRX3","protein_coding"
"5725","WFDC12","protein_coding"
"5726","NDUFB2","protein_coding"
"5727","PI3","protein_coding"
"5728","SEMG1","protein_coding"
"5729","SEMG2","protein_coding"
"5730","GGTLC2","protein_coding"
"5731","H2AB1","protein_coding"
"5732","F8A1","protein_coding"
"5733","GMPS","protein_coding"
"5734","DEFB116","protein_coding"
"5735","DEFB118","protein_coding"
"5736","GPRASP1","protein_coding"
"5737","HBZ","protein_coding"
"5738","DEFB119","protein_coding"
"5739","ACSL5","protein_coding"
"5740","PMP22","protein_coding"
"5741","HBM","protein_coding"
"5742","TMEM132D","protein_coding"
"5743","PAX1","protein_coding"
"5744","ARMCX5-GPRASP2","protein_coding"
"5745","GPRASP3","protein_coding"
"5746","ZNF341","protein_coding"
"5747","MRPS33","protein_coding"
"5748","SLC17A8","protein_coding"
"5749","HBA2","protein_coding"
"5750","ZNF385B","protein_coding"
"5751","GTPBP1","protein_coding"
"5752","PSMB2","protein_coding"
"5753","PKLR","protein_coding"
"5754","HBA1","protein_coding"
"5755","FCF1","protein_coding"
"5756","GUCY2F","protein_coding"
"5757","CCL27","protein_coding"
"5758","HBQ1","protein_coding"
"5759","DDX28","protein_coding"
"5760","EEFSEC","protein_coding"
"5761","STAC3","protein_coding"
"5762","NXT2","protein_coding"
"5763","CCL19","protein_coding"
"5764","SCAMP3","protein_coding"
"5765","SLC2A2","protein_coding"
"5766","CHCHD10","protein_coding"
"5767","SPATA31F1","protein_coding"
"5768","GLYATL1B","protein_coding"
"5769","THRAP3","protein_coding"
"5770","RALB","protein_coding"
"5771","SIGMAR1","protein_coding"
"5772","FAM111B","protein_coding"
"5773","KCNE5","protein_coding"
"5774","CPA2","protein_coding"
"5775","MMP11","protein_coding"
"5776","NFATC3","protein_coding"
"5777","YLPM1","protein_coding"
"5778","ACSL4","protein_coding"
"5779","PRXL2B","protein_coding"
"5780","TIMM50","protein_coding"
"5781","DTX4","protein_coding"
"5782","ZNF133","protein_coding"
"5783","GTF3C5","protein_coding"
"5784","GBA1","protein_coding"
"5785","CPA4","protein_coding"
"5786","BRAP","protein_coding"
"5787","DCBLD1","protein_coding"
"5788","ASCC2","protein_coding"
"5789","MPEG1","protein_coding"
"5790","SLITRK3","protein_coding"
"5791","CSGALNACT2","protein_coding"
"5792","ARL4C","protein_coding"
"5793","RASGEF1A","protein_coding"
"5794","VWA5A","protein_coding"
"5795","EDAR","protein_coding"
"5796","LGALS3","protein_coding"
"5797","CHPT1","protein_coding"
"5798","PHF3","protein_coding"
"5799","F13B","protein_coding"
"5800","KCNT2","protein_coding"
"5801","MEST","protein_coding"
"5802","GLUD1","protein_coding"
"5803","DLL3","protein_coding"
"5804","RHBDL2","protein_coding"
"5805","CFHR5","protein_coding"
"5806","CFHR2","protein_coding"
"5807","RNF103-CHMP3","protein_coding"
"5808","CFAP144","protein_coding"
"5809","ICOS","protein_coding"
"5810","DLGAP5","protein_coding"
"5811","EID2B","protein_coding"
"5812","EID2","protein_coding"
"5813","TNIK","protein_coding"
"5814","TSPYL1","protein_coding"
"5815","TBX3","protein_coding"
"5816","CHGB","protein_coding"
"5817","PNMA8A","protein_coding"
"5818","SIM1","protein_coding"
"5819","MDH1B","protein_coding"
"5820","HCN3","protein_coding"
"5821","ZMYM4","protein_coding"
"5822","TRMT6","protein_coding"
"5823","PNMA8B","protein_coding"
"5824","L3MBTL2","protein_coding"
"5825","CALM3","protein_coding"
"5826","NUP153","protein_coding"
"5827","ENTREP3","protein_coding"
"5828","SVOP","protein_coding"
"5829","MCM8","protein_coding"
"5830","ANHX","protein_coding"
"5831","FBXO34","protein_coding"
"5832","CEL","protein_coding"
"5833","BARD1","protein_coding"
"5834","SYCP3","protein_coding"
"5835","ATG14","protein_coding"
"5836","TALDO1","protein_coding"
"5837","SLC25A24","protein_coding"
"5838","ZFYVE26","protein_coding"
"5839","CHADL","protein_coding"
"5840","RALGDS","protein_coding"
"5841","GPR31","protein_coding"
"5842","FARS2","protein_coding"
"5843","DACT3","protein_coding"
"5844","H2AB2","protein_coding"
"5845","FABP6","protein_coding"
"5846","F8A2","protein_coding"
"5847","ATP6V1G3","protein_coding"
"5848","TREX2","protein_coding"
"5849","SOX10","protein_coding"
"5850","FGFR1OP2","protein_coding"
"5851","CRB3","protein_coding"
"5852","PTPRC","protein_coding"
"5853","GATD1","protein_coding"
"5854","NBPF6","protein_coding"
"5855","XRCC4","protein_coding"
"5856","PRDM13","protein_coding"
"5857","CRLS1","protein_coding"
"5858","MAFF","protein_coding"
"5859","ARSD","protein_coding"
"5860","ABCD2","protein_coding"
"5861","C1orf216","protein_coding"
"5862","DTNBP1","protein_coding"
"5863","DENND1C","protein_coding"
"5864","ACTL8","protein_coding"
"5865","TMEM184B","protein_coding"
"5866","YEATS4","protein_coding"
"5867","RLF","protein_coding"
"5868","NMUR2","protein_coding"
"5869","LRRN4","protein_coding"
"5870","ARSH","protein_coding"
"5871","CTNNA3","protein_coding"
"5872","ATRN","protein_coding"
"5873","TRPC7","protein_coding"
"5874","ARSF","protein_coding"
"5875","PGAM4","protein_coding"
"5876","TAPT1","protein_coding"
"5877","TAF9B","protein_coding"
"5878","DNAJC12","protein_coding"
"5879","CLSPN","protein_coding"
"5880","CSNK1E","protein_coding"
"5881","ARSL","protein_coding"
"5882","SIRT1","protein_coding"
"5883","CEND1","protein_coding"
"5884","GFRA4","protein_coding"
"5885","TFAP2D","protein_coding"
"5886","TNFSF9","protein_coding"
"5887","UBE2E3","protein_coding"
"5888","SMOX","protein_coding"
"5889","RNF144B","protein_coding"
"5890","CD70","protein_coding"
"5891","PXDC1","protein_coding"
"5892","INSM2","protein_coding"
"5893","AFG2A","protein_coding"
"5894","BRMS1L","protein_coding"
"5895","DNAJB12","protein_coding"
"5896","B3GALNT2","protein_coding"
"5897","TICAM2","protein_coding"
"5898","SLC25A14","protein_coding"
"5899","IYD","protein_coding"
"5900","ADAM19","protein_coding"
"5901","SLC25A22","protein_coding"
"5902","TRIP10","protein_coding"
"5903","FBXL15","protein_coding"
"5904","PPIAL4F","protein_coding"
"5905","SPRY1","protein_coding"
"5906","AGAP5","protein_coding"
"5907","FERMT1","protein_coding"
"5908","NOA1","protein_coding"
"5909","ZNF43","protein_coding"
"5910","GALNT11","protein_coding"
"5911","ZNF100","protein_coding"
"5912","SLC22A16","protein_coding"
"5913","POLR2B","protein_coding"
"5914","LBX1","protein_coding"
"5915","FAM25G","protein_coding"
"5916","ADAM12","protein_coding"
"5917","SLC35E4","protein_coding"
"5918","DDO","protein_coding"
"5919","DUSP18","protein_coding"
"5920","WRNIP1","protein_coding"
"5921","ESCO1","protein_coding"
"5922","LY75","protein_coding"
"5923","GBGT1","protein_coding"
"5924","DZANK1","protein_coding"
"5925","TCN2","protein_coding"
"5926","SERPINB1","protein_coding"
"5927","CPSF4","protein_coding"
"5928","MED18","protein_coding"
"5929","NSUN2","protein_coding"
"5930","KCNQ2","protein_coding"
"5931","SERPINB6","protein_coding"
"5932","ATP5IF1","protein_coding"
"5933","NDUFA11","protein_coding"
"5934","VMAC","protein_coding"
"5935","FUT3","protein_coding"
"5936","SESN2","protein_coding"
"5937","GTF2A1L","protein_coding"
"5938","PPP4R3A","protein_coding"
"5939","ESRP2","protein_coding"
"5940","ATP5MF","protein_coding"
"5941","IGFBP7","protein_coding"
"5942","GNL2","protein_coding"
"5943","GPR119","protein_coding"
"5944","PHEX","protein_coding"
"5945","ADNP","protein_coding"
"5946","REST","protein_coding"
"5947","ZNF789","protein_coding"
"5948","NBPF26","protein_coding"
"5949","TENT4A","protein_coding"
"5950","GJA4","protein_coding"
"5951","LIPK","protein_coding"
"5952","PPIAL4A","protein_coding"
"5953","NOTCH2NLR","protein_coding"
"5954","SH2D3A","protein_coding"
"5955","MPP7","protein_coding"
"5956","MAPK7","protein_coding"
"5957","ZSWIM2","protein_coding"
"5958","MORN1","protein_coding"
"5959","PLA2G15","protein_coding"
"5960","ZNF394","protein_coding"
"5961","MCHR1","protein_coding"
"5962","LILRB2","protein_coding"
"5963","WFDC5","protein_coding"
"5964","FAM124B","protein_coding"
"5965","TUG1","protein_coding"
"5966","FAM200A","protein_coding"
"5967","EBF4","protein_coding"
"5968","ZNF655","protein_coding"
"5969","FOXA3","protein_coding"
"5970","IRF2BP1","protein_coding"
"5971","ESR2","protein_coding"
"5972","MYPOP","protein_coding"
"5973","TTC22","protein_coding"
"5974","SFMBT2","protein_coding"
"5975","NANOS2","protein_coding"
"5976","ITPRID2","protein_coding"
"5977","ANXA5","protein_coding"
"5978","CCDC61","protein_coding"
"5979","SLC7A6","protein_coding"
"5980","HPS4","protein_coding"
"5981","MAGEB2","protein_coding"
"5982","TTLL9","protein_coding"
"5983","MAGEB4","protein_coding"
"5984","MYCBP","protein_coding"
"5985","APOBEC3A","protein_coding"
"5986","MFAP4","protein_coding"
"5987","GABRE","protein_coding"
"5988","SMIM15","protein_coding"
"5989","HINT1","protein_coding"
"5990","DLGAP3","protein_coding"
"5991","PGLYRP1","protein_coding"
"5992","IGFL3","protein_coding"
"5993","RIMS3","protein_coding"
"5994","MYT1","protein_coding"
"5995","LYRM7","protein_coding"
"5996","EMD","protein_coding"
"5997","DMWD","protein_coding"
"5998","GPLD1","protein_coding"
"5999","SMIM12","protein_coding"
"6000","RNF112","protein_coding"
