,0,1,2,3,4
0,0.02627406165083958,0.2663322677884542,0.4120655875861154,0.2953280829745908,0.0
1,0.0,0.21081926243589946,0.3141238626905422,0.4750568748735584,0.0
2,0.0,0.32210594712934815,0.32265680919449696,0.355237243676155,0.0
3,0.0,0.28367605517189015,0.2342061631369229,0.48211778169118685,0.0
4,0.04031783352540086,0.27450808067176985,0.43445008505004723,0.250724000752782,0.0
5,0.0,0.32034173505890307,0.4697565816963192,0.2099016832447778,0.0
6,0.0,0.303976886812784,0.3806140089726677,0.3154091042145483,0.0
7,0.0,0.06356553795941147,0.48171690758223107,0.44573864273151764,0.008978911726839837
8,0.0,0.16353486993518046,0.24985506039959973,0.5866100696652198,0.0
9,0.0,0.291685408243045,0.4538767731123576,0.2544378186445974,0.0
10,0.0,0.20759081198037888,0.25227297883459326,0.5401362091850278,0.0
11,0.0,0.3484478382764465,0.34205185196476684,0.3095003097587867,0.0
12,0.16944299654168676,0.26573580615919135,0.03733363183434577,0.5274875654647762,0.0
13,0.0,0.0,0.5680782971423947,0.43192170285760534,0.0
14,0.0,0.23158821120282563,0.18596387747287835,0.5824479113242961,0.0
15,0.0,0.19466164892041982,0.23442522890307202,0.5709131221765082,0.0
16,0.0,0.0,0.002014929974583965,0.9979850700254161,0.0
17,0.0,0.0,0.17898710453310593,0.821012895466894,0.0
18,0.0,0.10278380648816657,0.1155462131177454,0.781669980394088,0.0
19,0.0,0.0,0.008476060792066972,0.991523939207933,0.0
20,0.0,0.0,0.11531311653853027,0.8846868834614698,0.0
21,0.0,0.0,0.11682899213390557,0.8831710078660945,0.0
22,0.0,0.0,0.0,1.0,0.0
23,0.0,0.011818258468466687,0.0,0.9881817415315333,0.0
24,0.0,0.16726670300984814,0.3016011097887339,0.5311321872014179,0.0
25,0.0,0.16243112999118436,0.24169962214643878,0.5958692478623768,0.0
26,0.0,0.20600552159834615,0.13539920240591297,0.6585952759957407,0.0
27,0.0,0.024677793809215712,0.05179892816766507,0.9235232780231192,0.0
28,0.0,0.07556563568331191,0.0,0.9202475572756335,0.004186807041054728
29,0.08118035304184265,0.12476857628093614,0.2879845074178169,0.5060665632594044,0.0
30,0.0,0.1378325752654633,0.029338483466660358,0.8328289412678762,0.0
31,0.0,0.061519821005347725,0.12584677668038052,0.8126334023142717,0.0
32,0.0,0.1844788815567429,0.13947020687680778,0.6760509115664493,0.0
33,0.0,0.29801425873920334,0.0543485872312588,0.6476371540295379,0.0
34,0.33506082036092466,0.10100441199956772,0.046896415382311256,0.5170383522571964,0.0
35,0.011939649979015903,0.28074340014980437,0.09383735366409358,0.6134795962070861,0.0
36,0.0,0.17566878567497451,0.054103752160281175,0.7702274621647442,0.0
37,0.0,0.0,0.10663550976887567,0.8933644902311244,0.0
38,0.0,0.03871033878218891,0.0,0.9612896612178111,0.0
39,0.0,0.20778627515235262,0.13806589294528332,0.654147831902364,0.0
40,0.0,0.25630654999412766,0.12001590009070041,0.6236775499151718,0.0
41,0.0,0.22115376242751814,0.12412971951902765,0.6547165180534543,0.0
42,0.0,0.2544351139951351,0.15545315946219682,0.5901117265426681,0.0
43,0.06288148745275592,0.0,0.0,0.9371185125472441,0.0
44,0.0,0.315606390923194,0.04769627866859295,0.6366973304082131,0.0
45,0.0,0.11234134166253489,0.11532629939122822,0.7723323589462369,0.0
46,0.0,0.15986881329982738,0.1409246763993423,0.6992065103008304,0.0
47,0.0,0.2784859378782128,0.03819397204808656,0.6833200900737006,0.0
48,0.0,0.29781047854404935,0.29885014045428626,0.4033393810016643,0.0
49,0.0,0.18623441911942196,0.3334948934265196,0.4802706874540584,0.0
50,0.007627976846494624,0.0,0.042405462768339924,0.9477006340964718,0.0022659262886936403
51,0.0,0.2724578577777766,0.21224381354769067,0.5152983286745326,0.0
52,0.0,0.24717668198510717,0.15364670115513077,0.5991766168597621,0.0
53,0.0,0.0915462736634844,0.07970312931722436,0.8287505970192912,0.0
54,0.0,0.14705712394739484,0.0011022490594635817,0.8518406269931416,0.0
55,0.0,0.09388911582984547,0.07356328483445423,0.8325475993357002,0.0
56,0.0,0.15353334901144958,0.4549940493960169,0.39147260159253344,0.0
57,0.0,0.3528992035102847,0.18013071383234952,0.4669700826573659,0.0
58,0.0,0.2699007427572051,0.1530633178785825,0.5770359393642125,0.0
59,0.0,0.17860923543679041,0.16426818128062712,0.6571225832825824,0.0
60,0.0,0.0659849331029113,0.24592531700156114,0.6880897498955275,0.0
61,0.0,0.0,0.03031562017899471,0.9696843798210053,0.0
62,0.0,0.008353053678957991,0.32312276708657256,0.6685241792344695,0.0
63,0.0,0.2087141202192371,0.13456709078690346,0.6567187889938594,0.0
64,0.0,0.18050793466128542,0.15697280237019834,0.6625192629685164,0.0
65,0.0,0.0,0.20615215792287558,0.7938478420771243,0.0
66,0.0,0.1309342871139679,0.1229921386484882,0.746073574237544,0.0
